iter	Passed	Remaining
0	0	55
1	1	51
2	1	47
3	1	44
4	2	43
5	2	43
6	3	42
7	3	42
8	4	41
9	4	41
10	4	40
11	5	39
12	5	39
13	6	38
14	6	38
15	7	37
16	7	37
17	8	36
18	8	36
19	8	35
20	9	35
21	9	34
22	10	34
23	10	33
24	11	33
25	11	32
26	11	32
27	12	31
28	12	31
29	13	30
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	18	25
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	20	22
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	22	20
53	23	19
54	23	19
55	24	18
56	24	18
57	24	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	28	15
65	28	14
66	29	14
67	29	13
68	30	13
69	30	13
70	31	12
71	31	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	34	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	41	3
93	41	2
94	42	2
95	42	1
96	43	1
97	43	0
98	44	0
99	44	0
