iter	Passed	Remaining
0	136	136228
1	137	68454
2	137	45792
3	138	34424
4	138	27611
5	139	23062
6	139	19821
7	140	17385
8	140	15489
9	141	13986
10	141	12746
11	142	11714
12	142	10835
13	143	10104
14	144	9463
15	144	8895
16	145	8389
17	145	7941
18	146	7543
19	146	7187
20	147	6867
21	147	6575
22	148	6303
23	148	6052
24	149	5821
25	149	5609
26	150	5418
27	150	5239
28	151	5071
29	151	4911
30	152	4761
31	152	4621
32	153	4489
33	153	4364
34	154	4255
35	155	4159
36	155	4054
37	156	3954
38	156	3859
39	157	3768
40	157	3683
41	158	3605
42	158	3530
43	159	3458
44	159	3388
45	160	3322
46	160	3257
47	161	3196
48	161	3140
49	162	3083
50	162	3028
51	163	2976
52	163	2925
53	164	2876
54	164	2828
55	165	2785
56	165	2743
57	166	2700
58	166	2659
59	167	2618
60	167	2579
61	167	2541
62	168	2505
63	169	2473
64	169	2440
65	170	2408
66	170	2375
67	171	2344
68	171	2314
69	171	2284
70	172	2256
71	173	2230
72	173	2204
73	174	2177
74	174	2151
75	174	2126
76	175	2102
77	176	2083
78	176	2061
79	177	2038
80	177	2016
81	178	1994
82	178	1970
83	178	1949
84	179	1929
85	179	1910
86	180	1893
87	180	1874
88	181	1855
89	181	1837
90	182	1819
91	182	1802
92	182	1784
93	183	1768
94	184	1753
95	184	1738
96	185	1723
97	185	1707
98	185	1692
99	186	1677
100	186	1662
101	187	1649
102	188	1637
103	188	1624
104	188	1610
105	189	1598
106	190	1586
107	190	1573
108	191	1561
109	191	1551
110	192	1540
111	192	1529
112	193	1518
113	193	1507
114	194	1496
115	195	1486
116	195	1476
117	196	1468
118	196	1457
119	197	1447
120	197	1437
121	198	1428
122	199	1419
123	199	1411
124	200	1402
125	200	1393
126	201	1383
127	201	1374
128	202	1365
129	202	1358
130	203	1349
131	203	1341
132	204	1332
133	204	1324
134	205	1316
135	205	1308
136	206	1301
137	207	1293
138	207	1286
139	208	1279
140	208	1272
141	209	1263
142	209	1256
143	210	1249
144	210	1243
145	211	1236
146	211	1229
147	212	1222
148	212	1215
149	213	1208
150	213	1202
151	214	1196
152	215	1191
153	215	1184
154	216	1178
155	216	1171
156	216	1164
157	217	1158
158	218	1153
159	218	1147
160	218	1140
161	219	1134
162	219	1128
163	220	1122
164	220	1116
165	221	1110
166	221	1105
167	222	1100
168	222	1094
169	223	1089
170	223	1084
171	224	1080
172	224	1074
173	225	1070
174	226	1065
175	226	1060
176	227	1055
177	227	1050
178	227	1044
179	228	1039
180	228	1034
181	229	1031
182	230	1026
183	230	1022
184	231	1017
185	231	1012
186	231	1007
187	232	1003
188	233	999
189	233	996
190	234	992
191	234	987
192	235	982
193	235	978
194	235	973
195	236	969
196	237	966
197	237	962
198	238	958
199	238	953
200	238	949
201	239	945
202	239	941
203	240	937
204	240	933
205	241	930
206	242	927
207	242	923
208	242	919
209	243	916
210	243	912
211	244	909
212	245	906
213	245	902
214	246	898
215	246	895
216	247	891
217	247	888
218	248	885
219	248	882
220	249	878
221	249	875
222	250	872
223	250	868
224	251	865
225	251	862
226	252	859
227	253	856
228	253	853
229	254	850
230	254	847
231	255	844
232	255	841
233	256	839
234	256	836
235	257	833
236	257	830
237	258	827
238	258	824
239	259	821
240	260	819
241	260	817
242	261	814
243	262	812
244	263	810
245	263	809
246	264	806
247	265	804
248	265	801
249	266	798
250	266	795
251	267	793
252	267	790
253	268	788
254	268	785
255	269	782
256	269	780
257	270	777
258	271	775
259	271	773
260	272	770
261	272	768
262	273	765
263	273	762
264	274	760
265	274	758
266	275	756
267	275	753
268	276	751
269	276	748
270	277	746
271	278	744
272	278	742
273	279	739
274	279	737
275	280	735
276	280	732
277	281	730
278	281	728
279	282	726
280	283	724
281	283	722
282	284	720
283	284	717
284	285	715
285	285	713
286	286	711
287	286	709
288	287	707
289	288	705
290	288	703
291	289	701
292	289	699
293	290	697
294	290	695
295	291	693
296	292	691
297	292	689
298	293	687
299	293	685
300	294	683
301	294	681
302	295	679
303	295	677
304	296	675
305	297	673
306	297	672
307	298	670
308	298	668
309	299	666
310	299	664
311	300	662
312	300	660
313	301	658
314	301	656
315	302	654
316	303	652
317	303	651
318	304	649
319	304	647
320	305	645
321	305	643
322	306	641
323	306	640
324	307	638
325	307	636
326	308	634
327	309	633
328	309	631
329	309	629
330	310	627
331	310	625
332	311	623
333	311	621
334	312	619
335	312	617
336	313	616
337	313	614
338	314	612
339	314	610
340	315	608
341	315	607
342	316	605
343	316	603
344	317	602
345	317	601
346	318	599
347	318	597
348	319	595
349	319	593
350	320	592
351	320	590
352	321	589
353	321	587
354	322	585
355	322	583
356	323	581
357	323	580
358	324	579
359	324	577
360	325	575
361	325	574
362	326	572
363	326	570
364	327	569
365	327	567
366	328	566
367	328	564
368	329	563
369	329	561
370	330	559
371	330	558
372	331	556
373	331	555
374	332	553
375	332	552
376	333	550
377	333	548
378	333	547
379	334	545
380	334	543
381	335	542
382	336	541
383	336	539
384	337	538
385	337	537
386	338	535
387	338	533
388	339	532
389	339	531
390	340	529
391	340	528
392	341	526
393	341	525
394	341	523
395	342	522
396	343	521
397	343	520
398	344	518
399	344	517
400	345	515
401	345	514
402	346	513
403	346	511
404	347	510
405	347	509
406	348	507
407	348	506
408	349	504
409	349	503
410	350	502
411	350	500
412	351	499
413	351	498
414	352	496
415	352	495
416	353	493
417	353	492
418	354	491
419	354	490
420	355	488
421	356	487
422	356	486
423	357	485
424	357	483
425	358	482
426	358	481
427	359	479
428	359	478
429	359	477
430	360	475
431	360	474
432	361	473
433	361	472
434	362	470
435	363	469
436	363	468
437	363	466
438	364	465
439	364	464
440	365	463
441	366	462
442	366	460
443	367	459
444	367	458
445	368	457
446	368	456
447	369	454
448	369	453
449	370	452
450	370	451
451	371	449
452	371	448
453	371	447
454	372	446
455	373	445
456	373	443
457	374	442
458	374	441
459	375	440
